song identifier, likelihood_art, likelihood_pop, likelihood_tradition, likely_type, was_art, was_pop, was_tradition, was_type
cache/2016.Andrew McMahon in the Wilderness.Andrew McMahon in the Wilderness.High Dive.wav,0.21274039149284363,0.6723368763923645,0.11492273211479187,1,1,0,0,1
cache/2006.Snow Patrol.Eyes Open.Chasing Cars.wav,0.09073380380868912,0.8202123045921326,0.08905388414859772,1,1,0,0,1
cache/2014.Grace Jones.The Hunger Games: Mockingjay, Pt. 1 (Original Motion Picture Soundtrack).Original Beast.wav,0.05641017109155655,0.8817650675773621,0.06182475388050079,1,1,0,0,0
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).English Kids in America (Alternative Version).wav,0.0959179624915123,0.8361266255378723,0.06795541197061539,1,1,0,0,1
cache/1997.Modest Mouse.The Lonesome Crowded West.Trailer Trash.wav,0.04711763560771942,0.8916857242584229,0.061196643859148026,1,1,0,0,1
cache/2012.Track & Field.Warehouse 13 Season 3.Running Up That Hill.wav,0.06605900079011917,0.8709279894828796,0.06301299482584,1,1,0,0,1
cache/2014.La Roux.Trouble in Paradise.Kiss and Not Tell.wav,0.12310606986284256,0.7817328572273254,0.09516104310750961,1,1,0,0,1
cache/2015.Brian Tyler.Avengers: Age of Ultron.Rise Together.wav,0.1108289435505867,0.7999299764633179,0.08924106508493423,1,1,0,0,0
cache/2016.LostBoyCrow.NOON  191.Thursday.wav,0.062118954956531525,0.8345717191696167,0.10330933332443237,1,1,0,0,1
cache/2015.Hinkstep.My Forest Queen.Snö.wav,0.13194911181926727,0.7916750907897949,0.0763757973909378,1,1,0,0,0
cache/2015.Brian Tyler.Avengers: Age of Ultron.Outlook.wav,0.10891697555780411,0.7744542360305786,0.11662878096103668,1,1,0,0,0
cache/2016.Bastille.Live in Paris.Pompeii (Acoustic).wav,0.04533519595861435,0.8957622051239014,0.058902595192193985,1,1,0,0,1
cache/2015.Mumford & Sons.Wilder Mind (Deluxe Version).The Wolf - Live.wav,0.07800725847482681,0.8623611927032471,0.05963153392076492,1,1,0,0,1
cache/2014.IRREVERSIBLE.Surface.(Husk) Corpse Pose.wav,0.1419135481119156,0.7446333765983582,0.11345307528972626,1,1,0,0,1
cache/2015.Angus & Julia Stone.Spotify Sessions.Heart Beats Slow.wav,0.0528273768723011,0.9186350107192993,0.028537627309560776,1,1,0,0,1
cache/2009.Skillet.Awake (Deluxe).Don't Wake Me.wav,0.07810455560684204,0.8447198271751404,0.07717560231685638,1,1,0,0,1
cache/1995.Oasis.(What's the Story) Morning Glory?.Wonderwall.wav,0.13866764307022095,0.8277387619018555,0.03359357267618179,1,1,0,0,1
cache/2005.Coldplay.X&Y.Swallowed in the Sea.wav,0.10529236495494843,0.8530610203742981,0.04164662957191467,1,1,0,0,1
cache/2016.Woodkid.Desierto (Original Motion Picture Score).Web of Thorns.wav,0.13054749369621277,0.8018046617507935,0.06764786690473557,1,1,0,0,0
cache/2016.Coldplay.Speed of Sound.Speed Of Sound.wav,0.10281041264533997,0.875009298324585,0.02218027412891388,1,1,0,0,1
cache/2014.Blueneck.Night of the Meek.Driving Home for Christmas.wav,0.13442862033843994,0.7524241805076599,0.11314717680215836,1,1,0,0,1
cache/2009.Metric.Fantasies.Help I'm Alive.wav,0.04440205916762352,0.9298986792564392,0.025699276477098465,1,1,0,0,1
