song identifier	 likelihood_art	 likelihood_pop	 likelihood_tradition	 likely_type	 was_art	 was_pop	 was_tradition	 was_type	
cache/2014.James Newton Howard.The Hunger Games - Mockingjay Pt. 1 (Original Motin Picture Score).They're Back.wav	0.161180913	0.778044283	0.060774826	1	0	1	0	0	
cache/2012.Pentatonix.PTX vol 1.Aha!.wav	0.063653916	0.91419524	0.022150854	1	0	1	0	1	
cache/2009.Super Mash Bros..All About The Scrilions.Livin The Dream (I'm On A Float).wav	0.058419865	0.911256433	0.030323684	1	0	1	0	1	
cache/2014.The Who.Who's Next (Deluxe Edition).Bargain (Live).wav	0.221739843	0.644302368	0.133957818	1	0	1	0	1	
cache/2014.Claudin de Sermisy.MUSC233 Exam 3.Tant que vivray.wav	0.0653584	0.897217572	0.037424043	1	0	1	0	0	
cache/2010.Daft Punk.Tron: Legacy (Amazon MP3 Exclusive Version).End of Line.wav	0.124638021	0.75174129	0.123620711	1	0	1	0	0	
cache/2003.Evanescence.Fallen.Tourniquet.wav	0.301320612	0.599633873	0.0990455	1	0	1	0	1	
cache/2015.Death Cab For Cutie.Kintsugi.You've Haunted Me All Your Life.wav	0.092232347	0.80432272	0.103444926	1	0	1	0	1	
cache/2015.Breaking Benjamin.Dark Before Dawn.Angels Fall.wav	0.090915076	0.818576992	0.090507925	1	0	1	0	1	
cache/2015.The Best Pessimist.The Half-World.The Half-World.wav	0.048702925	0.87721175	0.07408534	1	0	1	0	0	
cache/2009.Skillet.Awake (Deluxe).Monster.wav	0.066064842	0.842670977	0.091264203	1	0	1	0	1	
cache/2016.Blue October.Home.Home.wav	0.020895485	0.960375905	0.018728582	1	0	1	0	1	
cache/2014.We Were Promised Jetpacks.Unravelling.Peace Of Mind.wav	0.037426408	0.900525153	0.062048417	1	0	1	0	1	
cache/2014.Foo Fighters.Sonic Highways.Something From Nothing.wav	0.142804161	0.817075074	0.040120769	1	0	1	0	1	
cache/2014.Blue Swede.Guardians Of The Galaxy (Awesome Mix Vol. 1).Hooked on a Feeling.wav	0.294316024	0.567121625	0.138562381	1	0	1	0	0	
